Week #,Report #,Report Date,Futures Based On,Unfixed Call Sales,Chg Sales,Unfixed Call Purchases,Chg Purchases,At Close,Chg At Close,Yr,Month,Old/New,Report Year
22.0,23,06/04/2021,Totals,113434,4529,48962,1178,231641,5127,,,total,2021
23.0,24,06/11/2021,July 2021,10039,-3513,3628,-251,26160,-38369,2021.0,7.0,old,2021
23.0,24,06/11/2021,October 2021,0,0,0,0,155,7,2021.0,10.0,old,2021
23.0,24,06/11/2021,December 2021,47851,3812,24108,-1496,138652,18476,2021.0,12.0,new1,2021
23.0,24,06/11/2021,March 2022,19421,1337,4917,162,28685,6061,2022.0,3.0,new1,2021
23.0,24,06/11/2021,May 2022,8628,684,937,26,6465,1810,2022.0,5.0,new1,2021
23.0,24,06/11/2021,July 2022,23526,1486,3104,440,9192,1060,2022.0,7.0,new1,2021
23.0,24,06/11/2021,December 2022,6523,0,9978,3,11888,701,2022.0,12.0,new2,2021
23.0,24,06/11/2021,March 2023,1216,0,176,0,182,0,2023.0,3.0,new2,2021
23.0,24,06/11/2021,May 2023,18,0,0,0,3,1,2023.0,5.0,new2,2021
23.0,24,06/11/2021,July 2023,18,0,0,0,3,0,2023.0,7.0,new2,2021
23.0,24,06/11/2021,December 2023,40,40,659,101,3,0,2023.0,12.0,new3,2021
23.0,24,06/11/2021,July 2024,0,0,220,0,0,0,2024.0,7.0,new3,2021
23.0,24,06/11/2021,December 2024,0,0,220,0,0,0,2024.0,12.0,new4,2021
23.0,24,06/11/2021,Totals,117280,3846,47947,-1015,221388,-10253,,,total,2021
24.0,25,06/18/2021,July 2021,3831,-6208,1176,-2452,6984,-19176,2021.0,7.0,old,2021
24.0,25,06/18/2021,October 2021,0,0,0,0,194,39,2021.0,10.0,old,2021
24.0,25,06/18/2021,December 2021,49727,1876,23780,-328,139802,1150,2021.0,12.0,new1,2021
24.0,25,06/18/2021,March 2022,21307,1886,5170,253,33671,4986,2022.0,3.0,new1,2021
24.0,25,06/18/2021,May 2022,9206,578,995,58,6620,155,2022.0,5.0,new1,2021
24.0,25,06/18/2021,July 2022,24668,1142,3392,288,9330,138,2022.0,7.0,new1,2021
24.0,25,06/18/2021,December 2022,6586,63,10022,44,11832,-56,2022.0,12.0,new2,2021
24.0,25,06/18/2021,March 2023,1236,20,176,0,182,0,2023.0,3.0,new2,2021
24.0,25,06/18/2021,May 2023,18,0,0,0,3,0,2023.0,5.0,new2,2021
24.0,25,06/18/2021,July 2023,18,0,0,0,3,0,2023.0,7.0,new2,2021
24.0,25,06/18/2021,December 2023,40,0,659,0,3,0,2023.0,12.0,new3,2021
24.0,25,06/18/2021,July 2024,0,0,220,0,0,0,2024.0,7.0,new3,2021
24.0,25,06/18/2021,December 2024,0,0,220,0,0,0,2024.0,12.0,new4,2021
24.0,25,06/18/2021,Totals,116637,-643,45810,-2137,208624,-12764,,,total,2021
25.0,26,06/25/2021,July 2021,80,-3751,0,-1176,5,-6979,2021.0,7.0,old,2021
25.0,26,06/25/2021,October 2021,0,0,0,0,280,86,2021.0,10.0,old,2021
25.0,26,06/25/2021,December 2021,52801,3074,24219,439,144579,4777,2021.0,12.0,new1,2021
25.0,26,06/25/2021,March 2022,23559,2252,5795,625,36632,2961,2022.0,3.0,new1,2021
25.0,26,06/25/2021,May 2022,10703,1497,1017,22,7317,697,2022.0,5.0,new1,2021
25.0,26,06/25/2021,July 2022,26135,1467,3598,206,9812,482,2022.0,7.0,new1,2021
25.0,26,06/25/2021,December 2022,7459,873,10103,81,12267,435,2022.0,12.0,new2,2021
25.0,26,06/25/2021,March 2023,1412,176,246,70,182,0,2023.0,3.0,new2,2021
25.0,26,06/25/2021,May 2023,18,0,0,0,3,0,2023.0,5.0,new2,2021
25.0,26,06/25/2021,July 2023,18,0,0,0,3,0,2023.0,7.0,new2,2021
25.0,26,06/25/2021,December 2023,40,0,659,0,3,0,2023.0,12.0,new3,2021
25.0,26,06/25/2021,July 2024,0,0,220,0,0,0,2024.0,7.0,new3,2021
25.0,26,06/25/2021,December 2024,0,0,220,0,0,0,2024.0,12.0,new4,2021
